Ingresos,,,,,,,"Formato en inglés, importante usar ""."" en lugar de "","" para el cálculo con el código RoiCounter.java. El uso de "","" provoca excepciones."
,,,,,,,
Fecha dd/mm/aa,Plataforma,Rig,Crypto,Cantidad Crypto,Cantidad EUR,,
6/1/2020,Nicehash,Cherry,BTC,0.001002,8.72,,
7/1/2020,Nicehash,Cherry,BTC,0.001233,10.06,,
8/1/2020,Nicehash,Cherry,BTC,0.002171,20.33,,
9/1/2020,Nicehash,Cherry,BTC,0.003683,36.20,,
10/1/2020,Nicehash,Cherry,BTC,0.005056,46.71,,
9/25/2020,Cudo Miner,Cherry,RVN,801.195167,8.28,,
12/1/2020,Cudo Miner,A01RIG,BTC,0.003262,50.08,,
12/1/2020,Nicehash,A01RIG,BTC,0.002906,47.28,,
12/20/2020,Nicehash,A01RIG,BTC,0.003120,59.84,,
1/2/2021,Nicehash,A01RIG,BTC,0.002064,49.58,,
1/11/2021,Nicehash,A01RIG,BTC,0.002027,54.32,,
1/29/2021,Nicehash,A01RIG,BTC,0.001989,57.91,,
1/30/2021,Cudo Miner,A01RIG + Cherry,RVN,913.000000,27.37,,
2/6/2021,Nicehash,A01RIG,BTC,0.003200,103.26,,
2/19/2021,Nicehash,A01RIG,BTC,0.003536,149.48,,
3/18/2021,Nicehash,A01RIG,BTC,0.005156,248.93,,
4/3/2021,Nicehash,A01RIG,BTC,0.002847,143.74,,
